category,key_term,fact_type,value,confidence,source_url,source_title
Data Serialization,avro,tech,"Schema-driven binary, 0.25x size, schema in payload, schema evolution, Hadoop ecosystem, compact",1.0,https://codelit.io/blog/data-serialization-formats,Data Serialization Formats: JSON vs Protobuf vs Avro vs MessagePack vs CBOR - Codelit
Data Serialization,bson,tech,"Binary JSON, designed for in-memory manipulation, convenient binary type, used primarily by MongoDB, can be larger than JSON",1.0,https://www.sitepoint.com/data-serialization-comparison-json-yaml-bson-messagepack,"Data Serialization Comparison: JSON, YAML, BSON, MessagePack - SitePoint"
Data Serialization,cbor,tech,"IETF RFC 8949, binary, self-describing, native binary/date/tags, 0.7x size — IoT and standards track",1.0,https://codelit.io/blog/data-serialization-formats,Data Serialization Formats: JSON vs Protobuf vs Avro vs MessagePack vs CBOR - Codelit
Data Serialization,choice_factors,tech,Human readability vs compactness vs speed vs schema evolution vs ecosystem integration,1.0,https://codelit.io/blog/data-serialization-formats,Data Serialization Formats: JSON vs Protobuf vs Avro vs MessagePack vs CBOR - Codelit
Data Serialization,json,tech,"Text, human-readable, self-describing, universal tooling, verbose, no schema, baseline 1.0x",1.0,https://codelit.io/blog/data-serialization-formats,Data Serialization Formats: JSON vs Protobuf vs Avro vs MessagePack vs CBOR - Codelit
Data Serialization,json_limits,tech,"No native comments, no multi-line strings, limited data types (no binary, no date, no custom types)",1.0,https://www.sitepoint.com/data-serialization-comparison-json-yaml-bson-messagepack,"Data Serialization Comparison: JSON, YAML, BSON, MessagePack - SitePoint"
Data Serialization,messagepack,tech,"Binary, schema-free, self-describing, 0.7x size, 1.5x encode, 1.8x decode — pragmatic JSON upgrade",1.0,https://codelit.io/blog/data-serialization-formats,Data Serialization Formats: JSON vs Protobuf vs Avro vs MessagePack vs CBOR - Codelit
Data Serialization,messagepack_limits,tech,"Encodes same data model as JSON (objects, arrays, strings, numbers, bools, null), no native date type",1.0,https://www.sitepoint.com/data-serialization-comparison-json-yaml-bson-messagepack,"Data Serialization Comparison: JSON, YAML, BSON, MessagePack - SitePoint"
Data Serialization,protobuf,tech,"Schema-driven binary, 0.3x size, 3.0x encode, 4.0x decode, strong typing, schema evolution rules, gRPC standard",1.0,https://codelit.io/blog/data-serialization-formats,Data Serialization Formats: JSON vs Protobuf vs Avro vs MessagePack vs CBOR - Codelit
Data Serialization,yaml_features,tech,"Superset of JSON — comments, multi-line strings, anchors/references, complex spec, potential parsing inconsistency between implementations",1.0,https://www.sitepoint.com/data-serialization-comparison-json-yaml-bson-messagepack,"Data Serialization Comparison: JSON, YAML, BSON, MessagePack - SitePoint"
Error Correcting Codes,application,product,"ECC RAM (Error-Correcting Code memory) — standard in servers, workstations, and critical systems",1.0,https://en.wikipedia.org/wiki/Hamming_code,Hamming Code - Wikipedia
